Distance,AverageDensity_Near,AverageDensity_Mid,AverageDensity_Far,AverageD2surface,PBPotential
28.615,10.0,60.0,531.5,4.722,0.007
35.572,9.5,42.0,395.5,2.361,0.002
34.086,11.0,45.0,387.5,1.727,0.002
29.836,8.5,69.0,482.5,6.504,0.006
16.347,8.5,61.5,412.5,3.543,0.069
5.918,8.0,58.0,357.0,3.284,1.216
20.784,10.5,57.0,417.5,4.182,0.023
11.496,11.5,61.5,411.5,3.913,0.209
30.688,11.0,52.5,454.0,5.604,0.005
8.292,8.0,50.0,479.0,5.473,0.641
8.886,9.0,44.0,418.0,3.690,0.393
8.951,7.5,53.5,510.5,5.723,0.754
18.975,8.5,23.5,396.0,2.235,0.040
14.974,9.0,50.5,488.5,4.363,0.132
20.864,10.5,37.5,491.0,4.883,0.025
22.099,10.0,42.0,492.0,4.936,0.027
25.700,6.5,39.5,454.0,3.784,0.009
31.579,8.0,33.0,401.0,1.834,0.003
29.169,10.0,41.5,447.5,3.253,0.005
28.075,7.5,55.5,624.0,5.300,0.010
32.447,7.5,42.5,499.5,3.623,0.003
28.623,7.5,53.0,686.5,7.347,0.009
30.962,8.0,43.0,538.5,5.189,0.004
35.288,8.0,51.0,502.5,5.465,0.002
33.516,6.0,27.0,423.5,6.018,0.002
37.106,7.0,21.5,354.5,2.147,0.002
33.748,7.5,46.5,435.5,4.342,0.003
32.008,8.0,55.5,593.5,5.807,0.005
30.240,8.0,40.5,535.0,5.973,0.005
28.016,8.0,37.5,567.5,5.495,0.006
25.196,9.0,46.0,703.5,6.990,0.013
29.826,8.0,43.5,483.0,4.251,0.005
30.230,7.0,44.0,519.5,4.014,0.004
27.092,7.0,50.5,578.0,4.598,0.009
34.488,6.5,32.5,442.0,2.238,0.002
32.476,8.0,35.5,434.0,1.603,0.003
29.137,5.5,59.5,529.0,6.380,0.007
11.962,5.5,52.0,459.0,3.419,0.234
6.867,5.0,48.5,403.5,3.161,0.637
18.166,7.5,47.5,464.0,4.059,0.050
10.619,8.5,52.0,458.0,3.789,0.303
29.648,8.0,43.0,500.5,5.481,0.006
5.844,11.0,70.0,523.0,7.275,2.934
2.286,9.5,79.5,615.5,9.308,19.789
14.644,10.5,49.5,501.0,5.820,0.092
11.715,11.0,76.5,593.5,7.948,0.526
14.896,12.5,63.5,596.0,8.468,0.172
17.753,12.0,68.0,597.0,8.521,0.114
19.703,8.5,65.5,559.0,7.370,0.044
25.840,10.0,59.0,506.0,5.419,0.011
22.510,12.0,67.5,552.5,6.838,0.032
29.346,8.5,58.0,497.5,5.074,0.006
21.155,9.5,81.5,729.0,8.884,0.074
24.561,9.5,68.5,604.5,7.208,0.022
21.476,9.5,79.0,791.5,10.932,0.070
23.507,10.0,69.0,643.5,8.774,0.037
28.466,10.0,77.0,607.5,9.050,0.014
26.832,8.0,53.0,528.5,9.603,0.015
36.039,10.0,48.5,387.5,5.189,0.002
31.901,9.0,47.5,459.5,5.732,0.004
33.136,9.0,61.5,484.0,7.255,0.003
27.785,9.5,72.5,540.5,7.927,0.011
25.489,10.0,81.5,698.5,9.392,0.031
23.209,10.0,66.5,640.0,9.558,0.037
20.571,10.0,63.5,672.5,9.081,0.058
17.786,11.0,72.0,808.5,10.575,0.122
21.753,10.0,69.5,588.0,7.836,0.046
22.297,9.0,70.0,624.5,7.598,0.035
19.809,9.0,76.5,683.0,8.184,0.076
26.861,8.5,58.5,547.0,5.823,0.012
25.211,10.0,61.5,539.0,5.188,0.017
23.391,7.5,85.5,634.0,9.965,0.035
9.751,7.5,78.0,564.0,7.005,0.615
6.282,7.0,74.5,508.5,6.746,1.993
12.383,9.5,73.5,569.0,7.643,0.373
8.160,10.5,78.0,563.0,7.374,1.251
24.440,10.0,69.0,605.5,9.066,0.021
6.439,10.5,73.5,554.5,7.525,2.080
11.343,11.5,43.5,440.0,4.037,0.194
10.675,12.0,70.5,532.5,6.165,0.427
13.954,13.5,57.5,535.0,6.685,0.134
17.530,13.0,62.0,536.0,6.738,0.077
19.116,9.5,59.5,498.0,5.587,0.040
25.941,11.0,53.0,445.0,3.636,0.009
22.753,13.0,61.5,491.5,5.056,0.023
30.097,9.5,52.0,436.5,3.291,0.005
23.009,10.5,75.5,668.0,7.101,0.032
26.430,10.5,62.5,543.5,5.425,0.012
24.796,10.5,73.0,730.5,9.149,0.024
27.513,11.0,63.0,582.5,6.992,0.012
32.547,11.0,71.0,546.5,7.267,0.005
31.667,9.0,47.0,467.5,7.820,0.005
32.425,10.5,66.5,479.5,6.144,0.003
29.199,11.0,75.5,637.5,7.609,0.010
27.691,11.0,60.5,579.0,7.775,0.010
24.727,11.0,57.5,611.5,7.297,0.017
20.843,12.0,66.0,747.5,8.793,0.042
24.819,11.0,63.5,527.0,6.053,0.018
24.217,10.0,64.0,563.5,5.816,0.018
21.303,10.0,70.5,622.0,6.401,0.037
28.049,9.5,52.5,486.0,4.040,0.008
25.814,11.0,55.5,478.0,3.405,0.012
27.809,8.5,79.5,573.0,8.182,0.010
7.921,8.5,72.0,503.0,5.221,0.757
10.940,8.0,68.5,447.5,4.963,0.296
10.747,10.5,67.5,508.0,5.861,0.343
13.323,11.5,72.0,502.0,5.591,0.204
28.801,11.0,63.0,544.5,7.283,0.007
13.604,10.0,53.0,532.5,6.070,0.115
9.793,10.5,80.0,625.0,8.198,0.896
13.412,12.0,67.0,627.5,8.718,0.249
15.677,11.5,71.5,628.5,8.771,0.184
18.079,8.0,69.0,590.5,7.620,0.058
23.977,9.5,62.5,537.5,5.669,0.014
20.937,11.5,71.0,584.0,7.088,0.041
27.776,8.0,61.5,529.0,5.324,0.007
19.503,9.0,85.0,760.5,9.134,0.104
23.501,9.0,72.0,636.0,7.458,0.025
20.078,9.0,82.5,823.0,11.182,0.091
22.624,9.5,72.5,675.0,9.024,0.039
27.250,9.5,80.5,639.0,9.300,0.017
26.124,7.5,56.5,560.0,9.853,0.016
34.872,9.5,52.0,419.0,5.439,0.002
30.489,8.5,51.0,491.0,5.982,0.005
31.884,8.5,65.0,515.5,7.505,0.003
26.539,9.0,76.0,572.0,8.177,0.012
23.976,9.5,85.0,730.0,9.642,0.041
22.333,9.5,70.0,671.5,9.808,0.037
19.741,9.5,67.0,704.0,9.331,0.060
16.440,10.5,75.5,840.0,10.825,0.159
21.077,9.5,73.0,619.5,8.086,0.047
21.283,8.5,73.5,656.0,7.848,0.037
18.349,8.5,80.0,714.5,8.434,0.100
25.652,8.0,62.0,578.5,6.073,0.013
23.869,9.5,65.0,570.5,5.438,0.019
21.925,7.0,89.0,665.5,10.215,0.044
8.157,7.0,81.5,595.5,7.255,0.992
7.118,6.5,78.0,540.0,6.996,1.402
11.152,9.0,77.0,600.5,7.893,0.532
7.396,10.0,81.5,594.5,7.624,1.583
22.849,9.5,72.5,637.0,9.316,0.029
7.913,11.5,50.0,510.5,4.710,0.577
6.137,13.0,37.0,513.0,5.230,0.740
10.684,12.5,41.5,514.0,5.283,0.287
10.194,9.0,39.0,476.0,4.131,0.227
17.183,10.5,32.5,423.0,2.181,0.050
14.671,12.5,41.0,469.5,3.600,0.101
22.081,9.0,31.5,414.5,1.836,0.021
17.707,10.0,55.0,646.0,5.646,0.064
21.576,10.0,42.0,521.5,3.970,0.024
22.275,10.0,52.5,708.5,7.694,0.027
26.734,10.5,42.5,560.5,5.537,0.009
30.925,10.5,50.5,524.5,5.812,0.005
32.588,8.5,26.5,445.5,6.365,0.003
32.193,10.0,46.0,457.5,4.689,0.002
26.863,10.5,55.0,615.5,6.154,0.011
27.887,10.5,40.0,557.0,6.320,0.007
24.688,10.5,37.0,589.5,5.842,0.013
18.601,11.5,45.5,725.5,7.338,0.046
23.121,10.5,43.0,505.0,4.598,0.018
19.865,9.5,43.5,541.5,4.361,0.035
15.862,9.5,50.0,600.0,4.946,0.086
21.548,9.0,32.0,464.0,2.585,0.022
18.317,10.5,35.0,456.0,1.950,0.045
27.446,8.0,59.0,551.0,6.727,0.008
8.580,8.0,51.5,481.0,3.766,0.454
20.480,7.5,48.0,425.5,3.508,0.022
4.232,10.0,47.0,486.0,4.405,2.312
20.155,11.0,51.5,480.0,4.136,0.025
28.342,10.5,42.5,522.5,5.828,0.005
8.023,13.5,64.0,605.5,7.358,1.174
7.469,13.0,68.5,606.5,7.411,1.586
11.836,9.5,66.0,568.5,6.260,0.227
17.248,11.0,59.5,515.5,4.309,0.064
15.917,13.0,68.0,562.0,5.729,0.120
23.077,9.5,58.5,507.0,3.964,0.021
16.495,10.5,82.0,738.5,7.774,0.218
22.462,10.5,69.0,614.0,6.098,0.030
19.967,10.5,79.5,801.0,9.822,0.112
24.826,11.0,69.5,653.0,7.665,0.026
28.146,11.0,77.5,617.0,7.940,0.016
29.643,9.0,53.5,538.0,8.493,0.007
36.419,11.0,49.0,397.0,4.080,0.002
31.360,10.0,48.0,469.0,4.623,0.005
32.680,10.0,62.0,493.5,6.146,0.003
28.147,10.5,73.0,550.0,6.817,0.009
23.633,11.0,82.0,708.0,8.282,0.052
25.169,11.0,67.0,649.5,8.448,0.021
22.552,11.0,64.0,682.0,7.970,0.036
16.646,12.0,72.5,818.0,9.466,0.178
22.965,11.0,70.0,597.5,6.726,0.032
20.662,10.0,70.5,634.0,6.489,0.046
15.770,10.0,77.0,692.5,7.074,0.185
23.078,9.5,59.0,556.5,4.713,0.022
20.147,11.0,62.0,548.5,4.079,0.042
22.930,8.5,86.0,643.5,8.855,0.046
3.397,8.5,78.5,573.5,5.894,8.514
16.045,8.0,75.0,518.0,5.636,0.116
6.985,10.5,74.0,578.5,6.534,1.950
14.339,11.5,78.5,572.5,6.264,0.235
23.319,11.0,69.5,615.0,7.956,0.031
7.203,14.5,55.5,609.0,7.931,1.398
5.173,11.0,53.0,571.0,6.780,1.564
12.316,12.5,46.5,518.0,4.829,0.154
9.173,14.5,55.0,564.5,6.249,0.587
16.688,11.0,45.5,509.5,4.484,0.072
11.571,12.0,69.0,741.0,8.295,0.500
15.959,12.0,56.0,616.5,6.619,0.124
16.353,12.0,66.5,803.5,10.342,0.186
21.190,12.5,56.5,655.5,8.185,0.050
25.012,12.5,64.5,619.5,8.460,0.026
27.274,10.5,40.5,540.5,9.014,0.012
34.511,12.5,36.0,399.5,4.600,0.002
30.488,11.5,35.0,471.5,5.143,0.003
29.939,11.5,49.0,496.0,6.666,0.004
26.577,12.0,60.0,552.5,7.338,0.011
20.915,12.5,69.0,710.5,8.803,0.073
22.488,12.5,54.0,652.0,8.969,0.036
19.400,12.5,51.0,684.5,8.491,0.068
12.893,13.5,59.5,820.5,9.986,0.330
17.887,12.5,57.0,600.0,7.246,0.093
14.310,11.5,57.5,636.5,7.009,0.186
9.816,11.5,64.0,695.0,7.594,0.649
16.059,11.0,46.0,559.0,5.233,0.096
12.953,12.5,49.0,551.0,4.599,0.196
21.995,10.0,73.0,646.0,9.376,0.046
10.290,10.0,65.5,576.0,6.415,0.404
20.476,9.5,62.0,520.5,6.156,0.029
3.372,12.0,61.0,581.0,7.054,7.495
18.740,13.0,65.5,575.0,6.784,0.064
22.987,12.5,56.5,617.5,8.476,0.026
7.124,10.5,57.5,572.0,6.832,0.950
10.202,12.0,51.0,519.0,4.882,0.325
10.518,14.0,59.5,565.5,6.301,0.468
16.844,10.5,50.0,510.5,4.537,0.066
11.667,11.5,73.5,742.0,8.348,0.753
18.715,11.5,60.5,617.5,6.671,0.065
16.654,11.5,71.0,804.5,10.395,0.259
22.639,12.0,61.0,656.5,8.238,0.041
24.704,12.0,69.0,620.5,8.513,0.034
28.043,10.0,45.0,541.5,9.066,0.008
33.186,12.0,40.5,400.5,4.652,0.003
28.199,11.0,39.5,472.5,5.196,0.007
28.952,11.0,53.5,497.0,6.719,0.006
25.441,11.5,64.5,553.5,7.390,0.015
19.751,12.0,73.5,711.5,8.855,0.123
23.414,12.0,58.5,653.0,9.021,0.029
21.094,12.0,55.5,685.5,8.543,0.049
14.287,13.0,64.0,821.5,10.038,0.339
21.079,12.0,61.5,601.0,7.299,0.045
17.487,11.0,62.0,637.5,7.062,0.089
11.784,11.0,68.5,696.0,7.646,0.534
18.380,10.5,50.5,560.0,5.286,0.052
15.171,12.0,53.5,552.0,4.652,0.115
20.404,9.5,77.5,647.0,9.428,0.083
10.863,9.5,70.0,577.0,6.467,0.404
21.980,9.0,66.5,521.5,6.209,0.028
9.292,11.5,65.5,582.0,7.107,0.766
18.896,12.5,70.0,576.0,6.837,0.077
20.596,12.0,61.0,618.5,8.529,0.054
7.398,8.5,48.5,481.0,3.731,0.480
4.782,10.5,57.0,527.5,5.150,1.835
12.072,7.0,47.5,472.5,3.385,0.144
9.173,8.0,71.0,704.0,7.196,0.704
13.875,8.0,58.0,579.5,5.520,0.140
15.316,8.0,68.5,766.5,9.243,0.181
20.803,8.5,58.5,618.5,7.086,0.042
23.646,8.5,66.5,582.5,7.361,0.025
27.262,6.5,42.5,503.5,7.915,0.009
33.247,8.5,38.0,362.5,3.501,0.002
29.424,7.5,37.0,434.5,4.044,0.003
28.309,7.5,51.0,459.0,5.567,0.004
25.865,8.0,62.0,515.5,6.239,0.009
19.401,8.5,71.0,673.5,7.704,0.069
22.471,8.5,56.0,615.0,7.870,0.029
19.669,8.5,53.0,647.5,7.392,0.053
12.804,9.5,61.5,783.5,8.887,0.278
17.667,8.5,59.0,563.0,6.147,0.080
12.861,7.5,59.5,599.5,5.910,0.197
7.925,7.5,66.0,658.0,6.495,0.855
12.827,7.0,48.0,522.0,4.135,0.135
9.208,8.5,51.0,514.0,3.500,0.335
21.603,6.0,75.0,609.0,8.277,0.036
14.708,6.0,67.5,539.0,5.316,0.091
24.975,5.5,64.0,483.5,5.058,0.009
8.498,8.0,63.0,544.0,5.955,0.543
22.509,9.0,67.5,538.0,5.686,0.020
22.472,8.5,58.5,580.5,7.377,0.021
5.660,12.0,50.5,474.5,3.200,1.559
7.750,8.5,41.0,419.5,1.435,0.426
8.985,9.5,64.5,651.0,5.245,0.810
14.299,9.5,51.5,526.5,3.570,0.094
15.344,9.5,62.0,713.5,7.293,0.168
21.412,10.0,52.0,565.5,5.135,0.026
22.158,10.0,60.0,529.5,5.411,0.028
27.570,8.0,36.0,450.5,5.964,0.004
31.026,10.0,31.5,309.5,1.550,0.003
27.260,9.0,30.5,381.5,2.094,0.006
25.963,9.0,44.5,406.0,3.617,0.007
24.715,9.5,55.5,462.5,4.288,0.009
17.728,10.0,64.5,620.5,5.753,0.092
23.127,10.0,49.5,562.0,5.919,0.015
21.165,10.0,46.5,594.5,5.441,0.025
14.729,11.0,55.0,730.5,6.936,0.152
19.571,10.0,52.5,510.0,4.197,0.031
14.352,9.0,53.0,546.5,3.960,0.098
9.812,9.0,59.5,605.0,4.545,0.506
11.984,8.5,41.5,469.0,2.184,0.143
8.807,10.0,44.5,461.0,1.550,0.387
20.994,7.5,68.5,556.0,6.326,0.038
20.533,7.5,61.0,486.0,3.365,0.026
30.404,7.0,57.5,430.5,3.107,0.003
15.670,9.5,56.5,491.0,4.005,0.078
26.934,10.5,61.0,485.0,3.735,0.007
21.400,10.0,52.0,527.5,5.426,0.026
7.517,10.5,49.5,466.0,2.854,0.689
6.330,11.5,73.0,697.5,6.665,3.335
10.029,11.5,60.0,573.0,4.989,0.434
12.742,11.5,70.5,760.0,8.712,0.546
18.117,12.0,60.5,612.0,6.555,0.087
20.442,12.0,68.5,576.0,6.830,0.071
24.807,10.0,44.5,497.0,7.383,0.013
30.201,12.0,40.0,356.0,2.970,0.003
27.008,11.0,39.0,428.0,3.513,0.006
24.972,11.0,53.0,452.5,5.036,0.010
23.420,11.5,64.0,509.0,5.707,0.019
16.579,12.0,73.0,667.0,7.173,0.220
20.164,12.0,58.0,608.5,7.339,0.050
17.609,12.0,55.0,641.0,6.861,0.090
11.190,13.0,63.5,777.0,8.356,0.599
15.068,12.0,61.0,556.5,5.617,0.132
9.617,11.0,61.5,593.0,5.379,0.512
5.376,11.0,68.0,651.5,5.964,3.795
8.358,10.5,50.0,515.5,3.603,0.576
4.747,12.0,53.0,507.5,2.969,2.612
19.830,9.5,77.0,602.5,7.746,0.088
18.826,9.5,69.5,532.5,4.785,0.048
27.509,9.0,66.0,477.0,4.527,0.007
12.411,11.5,65.0,537.5,5.424,0.255
24.586,12.5,69.5,531.5,5.155,0.018
20.873,12.0,60.5,574.0,6.846,0.049
9.272,8.0,63.5,642.5,4.901,0.720
9.850,8.0,50.5,518.0,3.224,0.306
14.011,8.0,61.0,705.0,6.948,0.226
18.639,8.5,51.0,557.0,4.790,0.043
19.102,8.5,59.0,521.0,5.066,0.051
25.005,6.5,35.0,442.0,5.619,0.006
28.232,8.5,30.5,301.0,1.206,0.004
26.079,7.5,29.5,373.0,1.748,0.005
22.714,7.5,43.5,397.5,3.272,0.012
23.125,8.0,54.5,454.0,3.943,0.012
16.135,8.5,63.5,612.0,5.408,0.127
21.034,8.5,48.5,553.5,5.574,0.021
19.340,8.5,45.5,586.0,5.096,0.035
14.575,9.5,54.0,722.0,6.591,0.156
16.469,8.5,51.5,501.5,3.852,0.062
11.093,7.5,52.0,538.0,3.615,0.228
9.847,7.5,58.5,596.5,4.200,0.473
6.326,7.0,40.5,460.5,1.839,0.780
5.360,8.5,43.5,452.5,1.204,1.215
20.884,6.0,67.5,547.5,5.981,0.036
26.119,6.0,60.0,477.5,3.020,0.009
33.943,5.5,56.5,422.0,2.762,0.002
19.905,8.0,55.5,482.5,3.659,0.039
30.503,9.0,60.0,476.5,3.390,0.004
21.833,8.5,51.0,519.0,5.082,0.021
8.058,9.0,74.0,749.5,7.035,1.563
6.619,9.0,84.5,936.5,10.758,5.305
12.623,9.5,74.5,788.5,8.601,0.602
14.525,9.5,82.5,752.5,8.877,0.555
18.910,7.5,58.5,673.5,9.430,0.065
24.178,9.5,54.0,532.5,5.016,0.017
20.849,8.5,53.0,604.5,5.559,0.035
19.149,8.5,67.0,629.0,7.082,0.057
17.127,9.0,78.0,685.5,7.754,0.147
10.409,9.5,87.0,843.5,9.219,1.893
14.308,9.5,72.0,785.0,9.385,0.321
12.183,9.5,69.0,817.5,8.907,0.575
5.958,10.5,77.5,953.5,10.402,5.139
11.257,9.5,75.0,733.0,7.662,0.605
7.427,8.5,75.5,769.5,7.425,1.964
3.074,8.5,82.0,828.0,8.010,16.465
8.619,8.0,64.0,692.0,5.649,1.078
7.466,9.5,67.0,684.0,5.015,1.791
13.549,7.0,91.0,779.0,9.792,0.709
19.297,7.0,83.5,709.0,6.831,0.079
25.139,6.5,80.0,653.5,6.572,0.019
14.324,9.0,79.0,714.0,7.470,0.267
21.410,10.0,83.5,708.0,7.200,0.065
14.731,9.5,74.5,750.5,8.892,0.376
8.855,9.0,71.5,812.0,9.082,1.305
10.865,9.5,61.5,664.0,6.925,0.374
14.219,9.5,69.5,628.0,7.200,0.248
17.786,7.5,45.5,549.0,7.753,0.037
24.377,9.5,41.0,408.0,3.340,0.008
23.219,8.5,40.0,480.0,3.883,0.009
18.981,8.5,54.0,504.5,5.406,0.026
18.620,9.0,65.0,561.0,6.078,0.046
12.853,9.5,74.0,719.0,7.543,0.472
13.788,9.5,59.0,660.5,7.709,0.150
11.439,9.5,56.0,693.0,7.231,0.284
8.871,10.5,64.5,829.0,8.726,0.948
6.968,9.5,62.0,608.5,5.986,0.978
2.303,8.5,62.5,645.0,5.749,10.212
6.989,8.5,69.0,703.5,6.334,1.636
4.152,8.0,51.0,567.5,3.974,2.742
6.726,9.5,54.0,559.5,3.339,1.083
17.018,7.0,78.0,654.5,8.116,0.137
24.754,7.0,70.5,584.5,5.155,0.014
28.852,6.5,67.0,529.0,4.896,0.006
18.200,9.0,66.0,589.5,5.794,0.074
25.957,10.0,70.5,583.5,5.524,0.014
18.960,9.5,61.5,626.0,7.216,0.061
6.509,9.5,72.0,851.0,10.648,3.340
8.662,9.5,80.0,815.0,10.924,2.505
12.317,7.5,56.0,736.0,11.477,0.252
18.441,9.5,51.5,595.0,7.063,0.049
15.655,8.5,50.5,667.0,7.606,0.095
13.704,8.5,64.5,691.5,9.130,0.202
11.096,9.0,75.5,748.0,9.801,0.622
5.404,9.5,84.5,906.0,11.266,7.928
7.787,9.5,69.5,847.5,11.432,1.702
6.368,9.5,66.5,880.0,10.954,3.111
4.101,10.5,75.0,1016.0,12.450,10.504
8.020,9.5,72.5,795.5,9.710,1.653
8.208,8.5,73.0,832.0,9.473,1.653
7.952,8.5,79.5,890.5,10.057,2.789
11.587,8.0,61.5,754.5,7.697,0.495
12.451,9.5,64.5,746.5,7.062,0.462
8.301,7.0,88.5,841.5,11.839,2.716
22.236,7.0,81.0,771.5,8.878,0.044
24.252,6.5,77.5,716.0,8.620,0.022
18.322,9.0,76.5,776.5,9.518,0.123
20.164,10.0,81.0,770.5,9.248,0.079
10.245,9.5,72.0,813.0,10.939,1.159
6.801,10.0,70.0,667.0,8.767,2.397
7.037,8.0,46.0,588.0,9.319,0.709
15.967,10.0,41.5,447.0,4.906,0.054
15.276,9.0,40.5,519.0,5.449,0.060
11.788,9.0,54.5,543.5,6.972,0.178
9.733,9.5,65.5,600.0,7.643,0.471
8.085,10.0,74.5,758.0,9.108,2.019
3.144,10.0,59.5,699.5,9.275,5.688
3.006,10.0,56.5,732.0,8.797,7.575
8.514,11.0,65.0,868.0,10.292,1.304
6.163,10.0,62.5,647.5,7.553,1.844
10.399,9.0,63.0,684.0,7.315,0.449
13.037,9.0,69.5,742.5,7.900,0.400
14.619,8.5,51.5,606.5,5.540,0.123
16.688,10.0,54.5,598.5,4.905,0.090
9.774,7.5,78.5,693.5,9.682,0.906
26.559,7.5,71.0,623.5,6.721,0.013
25.596,7.0,67.5,568.0,6.463,0.016
22.593,9.5,66.5,628.5,7.360,0.037
22.043,10.5,71.0,622.5,7.091,0.042
12.297,10.0,62.0,665.0,8.782,0.334
7.645,8.0,54.0,552.0,9.595,0.713
10.264,10.0,49.5,411.0,5.181,0.241
9.865,9.0,48.5,483.0,5.724,0.270
5.299,9.0,62.5,507.5,7.248,2.313
5.568,9.5,73.5,564.0,7.919,2.957
5.312,10.0,82.5,722.0,9.384,6.591
6.664,10.0,67.5,663.5,9.550,2.042
9.087,10.0,64.5,696.0,9.072,0.988
12.464,11.0,73.0,832.0,10.567,0.720
12.207,10.0,70.5,611.5,7.828,0.417
14.573,9.0,71.0,648.0,7.591,0.242
16.178,9.0,77.5,706.5,8.175,0.289
16.857,8.5,59.5,570.5,5.815,0.102
19.052,10.0,62.5,562.5,5.181,0.074
8.090,7.5,86.5,657.5,9.957,2.058
30.299,7.5,79.0,587.5,6.996,0.007
30.017,7.0,75.5,532.0,6.738,0.007
26.933,9.5,74.5,592.5,7.636,0.018
25.632,10.5,79.0,586.5,7.366,0.020
9.796,10.0,70.0,629.0,9.058,0.838
11.665,8.0,25.5,332.0,5.734,0.122
12.385,7.0,24.5,404.0,6.277,0.117
9.893,7.0,38.5,428.5,7.800,0.172
7.385,7.5,49.5,485.0,8.472,0.646
11.161,8.0,58.5,643.0,9.937,0.302
4.815,8.0,43.5,584.5,10.104,1.411
8.114,8.0,40.5,617.0,9.625,0.510
14.562,9.0,49.0,753.0,11.120,0.147
12.686,8.0,46.5,532.5,8.381,0.209
17.430,7.0,47.0,569.0,8.143,0.046
19.718,7.0,53.5,627.5,8.729,0.049
21.414,6.5,35.5,491.5,6.368,0.015
23.588,8.0,38.5,483.5,5.733,0.012
10.319,5.5,62.5,578.5,10.511,0.325
31.065,5.5,55.0,508.5,7.550,0.004
27.382,5.0,51.5,453.0,7.291,0.010
28.371,7.5,50.5,513.5,8.188,0.010
23.681,8.5,55.0,507.5,7.919,0.023
12.418,8.0,46.0,550.0,9.611,0.158
6.770,9.0,20.0,263.0,1.864,0.360
5.636,9.0,34.0,287.5,3.387,0.711
8.407,9.5,45.0,344.0,4.059,0.297
13.855,10.0,54.0,502.0,5.524,0.120
14.401,10.0,39.0,443.5,5.690,0.067
17.858,10.0,36.0,476.0,5.212,0.036
22.089,11.0,44.5,612.0,6.707,0.021
21.902,10.0,42.0,391.5,3.967,0.019
24.824,9.0,42.5,428.0,3.730,0.008
26.161,9.0,49.0,486.5,4.315,0.010
26.762,8.5,31.0,350.5,1.954,0.005
29.007,10.0,34.0,342.5,1.320,0.004
13.590,7.5,58.0,437.5,6.097,0.109
36.132,7.0,47.0,312.0,2.877,0.002
31.443,10.5,50.5,366.5,3.506,0.004
13.794,10.0,41.5,409.0,5.197,0.101
7.552,8.0,33.0,359.5,3.930,0.315
5.669,8.5,44.0,416.0,4.601,0.786
10.724,9.0,53.0,574.0,6.067,0.269
13.336,9.0,38.0,515.5,6.233,0.086
16.351,9.0,35.0,548.0,5.755,0.045
19.017,10.0,43.5,684.0,7.250,0.040
21.146,9.0,41.0,463.5,4.511,0.018
23.307,8.0,41.5,500.0,4.273,0.010
23.168,8.0,48.0,558.5,4.858,0.018
25.425,7.5,30.0,422.5,2.498,0.005
26.841,9.0,33.0,414.5,1.863,0.005
8.874,6.5,57.0,509.5,6.640,0.417
33.392,6.5,49.5,439.5,3.679,0.002
31.810,6.0,46.0,384.0,3.421,0.004
32.241,8.5,45.0,444.5,4.318,0.003
26.687,9.5,49.5,438.5,4.049,0.011
8.070,9.0,40.5,481.0,5.740,0.518
6.394,8.5,58.0,440.5,6.125,0.843
9.234,9.0,67.0,598.5,7.590,0.584
11.068,9.0,52.0,540.0,7.756,0.179
14.064,9.0,49.0,572.5,7.278,0.090
17.601,10.0,57.5,708.5,8.773,0.067
17.300,9.0,55.0,488.0,6.034,0.044
19.604,8.0,55.5,524.5,5.796,0.025
21.100,8.0,62.0,583.0,6.381,0.030
21.187,7.5,44.0,447.0,4.021,0.015
23.513,9.0,47.0,439.0,3.386,0.011
10.913,6.5,71.0,534.0,8.163,0.278
34.138,6.0,60.0,408.5,4.944,0.002
31.948,8.5,59.0,469.0,5.841,0.003
29.508,9.5,63.5,463.0,5.572,0.005
11.683,9.0,54.5,505.5,7.263,0.179
7.117,9.5,78.0,655.0,8.261,1.860
7.667,9.5,63.0,596.5,8.428,0.750
10.762,9.5,60.0,629.0,7.950,0.316
14.316,10.5,68.5,765.0,9.444,0.223
15.713,9.5,66.0,544.5,6.705,0.105
18.494,8.5,66.5,581.0,6.468,0.051
18.990,8.5,73.0,639.5,7.053,0.077
21.376,8.0,55.0,503.5,4.692,0.020
22.970,9.5,58.0,495.5,4.058,0.017
5.413,7.0,82.0,590.5,8.835,2.594
30.046,7.0,74.5,520.5,5.873,0.005
28.215,6.5,71.0,465.0,5.615,0.008
28.166,9.0,70.0,525.5,6.513,0.008
23.463,10.0,74.5,519.5,6.243,0.022
6.440,9.5,65.5,562.0,7.934,1.254
8.140,10.0,72.0,754.5,9.893,1.575
9.100,10.0,69.0,787.0,9.415,1.310
9.288,11.0,77.5,923.0,10.910,2.111
12.197,10.0,75.0,702.5,8.170,0.547
12.895,9.0,75.5,739.0,7.933,0.491
12.623,9.0,82.0,797.5,8.518,0.871
14.979,8.5,64.0,661.5,6.157,0.215
16.200,10.0,67.0,653.5,5.523,0.185
5.575,7.5,91.0,748.5,10.300,5.980
26.024,7.5,83.5,678.5,7.338,0.022
27.374,7.0,80.0,623.0,7.080,0.013
23.028,9.5,79.0,683.5,7.978,0.049
22.677,10.5,83.5,677.5,7.708,0.044
6.959,10.0,74.5,720.0,9.399,2.735
3.605,10.0,54.0,728.5,9.581,4.090
9.749,11.0,62.5,864.5,11.076,0.742
8.881,10.0,60.0,644.0,8.336,0.748
13.157,9.0,60.5,680.5,8.099,0.188
14.998,9.0,67.0,739.0,8.684,0.214
17.457,8.5,49.0,603.0,6.323,0.055
19.247,10.0,52.0,595.0,5.689,0.045
8.007,7.5,76.0,690.0,10.466,1.254
26.740,7.5,68.5,620.0,7.505,0.011
